article,name,birth,death,nationality,notable_21_century_works,era
John_Cale,John Cale,1942,,Welsh,,21st-century classical
Ludmila_Ulehla,Ludmila Ulehla,1923,2009,American,,21st-century classical
Stewart_Wallace,Stewart Wallace,1960,,American,,21st-century classical
Stefan_Milenković,Stefan Milenković,1977,,Serbian,,21st-century classical
Milan_Mihajlović,Milan Mihajlović,1945,,Serbian,,21st-century classical
Joelle_Wallach,Joelle Wallach,1946,,American,,21st-century classical
Thomas_Albert,Thomas Albert,1948,,American,,21st-century classical
Triphon_Silyanovski,Triphon Silyanovski,1923,2005,Bulgarian,,21st-century classical
Hans_Ulrich_Engelmann,Hans Ulrich Engelmann,1921,2011,German,,21st-century classical
Gerhard_Wimberger,Gerhard Wimberger,1923,2016,Austrian,,21st-century classical
Wang_Qiang_(composer),Wang Qiang,1935,,Chinese,,21st-century classical
Igor_Wakhévitch,Igor Wakhévitch,1948,,French,,21st-century classical
Karl_Korte,Karl Korte,1928,,American,,21st-century classical
Werner_Kaegi_(composer),Werner Kaegi,1926,,Swiss,,21st-century classical
Benjamin_Lees,Benjamin Lees,1924,2010,American,,21st-century classical
John_Lessard,John Lessard,1920,2003,American,,21st-century classical
Riichiro_Manabe,Riichiro Manabe,1924,2015,Japanese,,21st-century classical
Bidzina_Kvernadze,Bidzina Kvernadze,1928,2010,Georgian,,21st-century classical
Carlton_Gamer,Carlton Gamer,1929,,American,,21st-century classical
Mustafa_Krantja,Mustafa Krantja,1921,2002,Albanian,,21st-century classical
Brunhilde_Sonntag,Brunhilde Sonntag,1936,2002,German,,21st-century classical
Oleksandr_Krasotov,Oleksandr Krasotov,1936,2007,Ukrainian,,21st-century classical
Lu_Yen,Yen Lu,1930,2008,Chinese-born Taiwanese,,21st-century classical
Jean_Catoire,Jean Catoire,1923,2005,French,,21st-century classical
Chou_Wen-chung,Chou Wen-chung,1923,2019,Chinese/American,,21st-century classical
Tale_Ognenovski,Tale Ognenovski,1922,2012,Macedonian,,21st-century classical
Gudrun_Lund,Gudrun Lund,1930,,Danish,,21st-century classical
Sérgio_Assad,Sérgio Assad,1952,,Brazilian,,21st-century classical
Beverly_Grigsby,Beverly Grigsby,1928,,American,,21st-century classical
Anton_Batagov,Anton Batagov,1965,,Russian,,21st-century classical
Vladimir_Shainsky,Vladimir Shainsky,1925,2017,Russian,,21st-century classical
Michael_Vincent_Waller,Michael Vincent Waller,1985,,American,,21st-century classical
Hale_Smith,Hale Smith,1925,2009,American,,21st-century classical
Elaine_Hugh-Jones,Elaine Hugh-Jones,1927,,Welsh,,21st-century classical
Arthur_Frackenpohl,Arthur Frackenpohl,1924,2019,American,,21st-century classical
Hi_Kyung_Kim,Hi Kyung Kim,1954,,South Korean,,21st-century classical
Yasunori_Mitsuda,Yasunori Mitsuda,1972,,Japanese,,21st-century classical
Nadežka_Mosusova,Nadežka Mosusova,1928,,Serbian,,21st-century classical
Hormoz_Farhat,Hormoz Farhat,1929,,Iranian,,21st-century classical
Stanley_Hollingsworth,Stanley Hollingsworth,1924,2003,American,,21st-century classical
Christopher_Gunning,Christopher Gunning,1944,,British,,21st-century classical
Joan_Franks_Williams,Joan Franks Williams,1930,2003,American,,21st-century classical
Janine_Charbonnier,Janine Charbonnier,1926,,French,,21st-century classical
Włodzimierz_Kotoński,Włodzimierz Kotoński,1925,2014,Polish,,21st-century classical
Teo_Macero,Teo Macero,1925,2008,American,,21st-century classical
Ivo_Malec,Ivo Malec,1925,2019,French,,21st-century classical
Frank_Lewin,Frank Lewin,1925,2008,American,,21st-century classical
Irina_Bogushevskaya,Irina Bogushevskaya,1965,,Russian,,21st-century classical
Francis_Dhomont,Francis Dhomont,1926,,French,,21st-century classical
Alice_Samter,Alice Samter,1908,2004,German,,21st-century classical
Caroline_Ansink,Caroline Ansink,1959,,Dutch,,21st-century classical
John_Carmichael_(composer),John Carmichael,1930,,Australian,,21st-century classical
Ernie_Stires,Ernie Stires,1925,2008,American,,21st-century classical
Ernest_Tomlinson,Ernest Tomlinson,1924,2015,English,,21st-century classical
Harold_Budd,Harold Budd,1936,,American,,21st-century classical
Louis_Barron,Louis Barron,1925,2008,American,,21st-century classical
Allen_Shawn,Allen Shawn,1948,,American,,21st-century classical
André_Almuró,André Almuró,1927,2009,French,,21st-century classical
Geoffrey_Grey,Geoffrey Grey,1934,,British,,21st-century classical
Dolores_Claman,Dolores Claman,1927,,Canadian,,21st-century classical
John_Diercks,John Diercks,1927,,American,,21st-century classical
